id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Leon;Kiehn;Dandre.Runte53@yahoo.com;overconfidently doing nippy;2024-11-27T23:03:00;25374;7360
2;Novella;Cummerata;Hermina93@yahoo.com;doubter;2024-11-27T17:49:18;11730;25333
3;Gerry;Hirthe;Nakia.Lakin@hotmail.com;for quick;2024-11-28T08:13:41;4333;7951
4;Mallory;Legros;Aaliyah_Wiegand@gmail.com;nervously after;2024-11-27T15:15:34;23787;32300
5;Vicente;Shields;Ian_Renner14@gmail.com;bah;2024-11-28T03:36:37;18549;6358
6;Ernestine;Kutch;Sally_Feeney53@gmail.com;big damaged;2024-11-27T21:54:13;19563;8931
7;Presley;Runolfsson;Dylan5@hotmail.com;down hype freely;2024-11-27T21:27:28;27518;3984
8;Eugenia;Maggio;Kelton_Runte-Mertz87@hotmail.com;yahoo by excluding;2024-11-27T15:50:43;31961;22311
9;Jorge;Russel;Leatha.Armstrong47@hotmail.com;patiently;2024-11-28T06:36:35;21891;10753
10;Major;Pagac;Sven_Mosciski@yahoo.com;adventurously overconfidently;2024-11-27T15:53:07;14273;11768
